"2023-04-14T09:54:43.610Z","SYS","Session logging started.",""
"2023-04-14T09:54:43.611Z","EVSE","Session Started: EVConnected",""
"2023-04-14T09:54:44.613Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-14T09:54:44.943Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-14T09:54:45.093Z","EVSE","EIM Authorization received",""
"2023-04-14T09:54:45.094Z","EVSE","Transaction Started (0 kWh)",""
"2023-04-14T09:54:45.096Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-14T09:54:45.147Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-14T09:54:45.343Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-14T09:54:54.004Z","CAR","V2G SupportedAppProtocolReq","{
    "supportedAppProtocolReq": {
        "AppProtocol": [
            {
                "Priority": 1,
                "ProtocolNamespace": "urn:din:70121:2012:MsgDef",
                "SchemaID": 1,
                "VersionNumberMajor": 2,
                "VersionNumberMinor": 0
            },
            {
                "Priority": 2,
                "ProtocolNamespace": "urn:iso:15118:2:2013:MsgDef",
                "SchemaID": 0,
                "VersionNumberMajor": 2,
                "VersionNumberMinor": 0
            }
        ]
    }
}"
"2023-04-14T09:54:54.126Z","EVSE","V2G SupportedAppProtocolRes","{
    "supportedAppProtocolRes": {
        "ResponseCode": "OK_SuccessfulNegotiation",
        "SchemaID": 1
    }
}"
"2023-04-14T09:54:54.770Z","CAR","V2G SessionSetupReq","{
    "V2G_Message": {
        "Body": {
            "SessionSetupReq": {
                "EVCCID": "007DFA06AB91"
            }
        },
        "Header": {
            "SessionID": "00"
        }
    }
}"
"2023-04-14T09:54:55.057Z","EVSE","V2G SessionSetupRes","{
    "V2G_Message": {
        "Body": {
            "SessionSetupRes": {
                "DateTimeNow": 1681466094,
                "EVSEID": "49A80737A45678",
                "ResponseCode": "OK_NewSessionEstablished"
            }
        },
        "Header": {
            "SessionID": "383C1F0C06B856C5"
        }
    }
}"
"2023-04-14T09:54:55.435Z","CAR","V2G ServiceDiscoveryReq","{
    "V2G_Message": {
        "Body": {
            "ServiceDiscoveryReq": {}
        },
        "Header": {
            "SessionID": "383C1F0C06B856C5"
        }
    }
}"
"2023-04-14T09:54:55.732Z","EVSE","V2G ServiceDiscoveryRes","{
    "V2G_Message": {
        "Body": {
            "ServiceDiscoveryRes": {
                "ChargeService": {
                    "EnergyTransferType": "DC_extended",
                    "FreeService": false,
                    "ServiceTag": {
                        "ServiceCategory": "EVCharging",
                        "ServiceID": 1
                    }
                },
                "PaymentOptions": {
                    "PaymentOption": [
                        "ExternalPayment"
                    ]
                },
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "383C1F0C06B856C5"
        }
    }
}"
"2023-04-14T09:54:56.143Z","CAR","V2G ServicePaymentSelectionReq","{
    "V2G_Message": {
        "Body": {
            "ServicePaymentSelectionReq": {
                "SelectedPaymentOption": "ExternalPayment",
                "SelectedServiceList": {
