"2023-04-14T09:56:00.969Z","SYS","Session logging started.",""
"2023-04-14T09:56:00.970Z","EVSE","Session Started: EVConnected",""
"2023-04-14T09:56:01.972Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-14T09:56:02.170Z","EVSE","Change HLC Limits: 10000W/25A, target_voltage 0, hack_bpt false",""
"2023-04-14T09:56:02.320Z","EVSE","EIM Authorization received",""
"2023-04-14T09:56:02.321Z","EVSE","Transaction Started (0 kWh)",""
"2023-04-14T09:56:02.323Z","EVSE","DC mode. We are in 5percent mode so we can continue without further action.",""
"2023-04-14T09:56:02.373Z","EVSE","Charger state: Wait for Auth->PrepareCharging",""
"2023-04-14T09:56:02.513Z","EVSE","Set PWM On (5.000000074505806%)",""
"2023-04-14T09:56:11.146Z","CAR","V2G SupportedAppProtocolReq","{
    "supportedAppProtocolReq": {
        "AppProtocol": [
            {
                "Priority": 1,
                "ProtocolNamespace": "urn:din:70121:2012:MsgDef",
                "SchemaID": 1,
                "VersionNumberMajor": 2,
                "VersionNumberMinor": 0
            },
            {
                "Priority": 2,
                "ProtocolNamespace": "urn:iso:15118:2:2013:MsgDef",
                "SchemaID": 0,
                "VersionNumberMajor": 2,
                "VersionNumberMinor": 0
            }
        ]
    }
}"
"2023-04-14T09:56:11.247Z","EVSE","V2G SupportedAppProtocolRes","{
    "supportedAppProtocolRes": {
        "ResponseCode": "OK_SuccessfulNegotiation",
        "SchemaID": 0
    }
}"
"2023-04-14T09:56:11.758Z","CAR","V2G SessionSetupReq","{
    "V2G_Message": {
        "Body": {
            "SessionSetupReq": {
                "EVCCID": "007DFA06AB91"
            }
        },
        "Header": {
            "SessionID": "00"
        }
    }
}"
"2023-04-14T09:56:12.024Z","EVSE","V2G SessionSetupRes","{
    "V2G_Message": {
        "Body": {
            "SessionSetupRes": {
                "EVSEID": "DE*PNX*E12345*1",
                "EVSETimeStamp": 1681466171,
                "ResponseCode": "OK_NewSessionEstablished"
            }
        },
        "Header": {
            "SessionID": "EB389218544BBA10"
        }
    }
}"
"2023-04-14T09:56:12.371Z","CAR","V2G ServiceDiscoveryReq","{
    "V2G_Message": {
        "Body": {
            "ServiceDiscoveryReq": {}
        },
        "Header": {
            "SessionID": "EB389218544BBA10"
        }
    }
}"
"2023-04-14T09:56:12.678Z","EVSE","V2G ServiceDiscoveryRes","{
    "V2G_Message": {
        "Body": {
            "ServiceDiscoveryRes": {
                "ChargeService": {
                    "FreeService": false,
                    "ServiceCategory": "EVCharging",
                    "ServiceID": 1,
                    "ServiceName": "AC_DC_Charging",
                    "SupportedEnergyTransferMode": {
                        "EnergyTransferMode": [
                            "DC_extended"
                        ]
                    }
                },
                "PaymentOptionList": {
                    "PaymentOption": [
                        "ExternalPayment"
                    ]
                },
                "ResponseCode": "OK"
            }
        },
        "Header": {
            "SessionID": "EB389218544BBA10"
        }
    }
}"
"2023-04-14T09:56:12.967Z","CAR","V2G PaymentServiceSelectionReq","{
    "V2G_Message": {
        "Body": {
            "PaymentServiceSelectionReq": {
